日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2019-05-01,优,50,105,29,51,7,34,0.80,50
2019-05-02,优,48,74,27,48,5,33,0.74,46
2019-05-03,良,53,82,31,55,6,35,0.79,38
2019-05-04,良,53,85,30,54,6,39,0.78,35
2019-05-05,优,49,127,30,50,5,35,0.80,33
2019-05-06,优,33,56,20,32,4,26,0.70,38
2019-05-07,优,34,41,19,30,4,24,0.69,65
2019-05-08,优,39,69,24,38,4,35,0.69,42
2019-05-09,良,54,145,34,56,5,44,0.83,44
2019-05-10,良,58,132,36,61,6,43,0.87,60
2019-05-11,良,70,171,48,83,8,49,0.95,73
2019-05-12,优,47,36,31,48,4,34,0.79,51
2019-05-13,良,51,77,29,55,4,32,0.69,29
2019-05-14,优,46,56,26,46,5,35,0.77,24
2019-05-15,良,52,143,31,53,5,46,1.00,18
2019-05-16,良,56,173,34,59,6,42,1.00,45
2019-05-17,良,62,235,41,67,7,37,0.91,61
2019-05-18,优,44,85,27,44,6,36,0.83,36
2019-05-19,优,41,64,26,40,4,28,0.71,31
2019-05-20,优,30,7,17,28,4,29,0.60,48
2019-05-21,良,52,98,30,54,5,38,0.73,29
2019-05-22,良,55,93,33,58,5,39,0.85,53
2019-05-23,良,60,106,36,62,8,45,0.90,65
2019-05-24,优,49,57,29,50,7,42,0.85,53
2019-05-25,良,53,136,36,54,6,38,0.93,56
2019-05-26,良,59,228,41,62,6,34,0.90,63
2019-05-27,良,68,320,46,76,5,38,0.94,43
2019-05-28,优,40,104,24,39,4,31,0.65,32
2019-05-29,优,42,106,27,41,4,31,0.71,37
2019-05-30,优,45,104,28,44,4,31,0.74,37
2019-05-31,优,48,142,28,47,5,38,0.85,49
