日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2020-07-01,优,36,157,13,37,10,26,0.49,59
2020-07-02,良,51,283,22,54,11,35,0.58,67
2020-07-03,优,47,285,22,48,9,35,0.64,66
2020-07-04,优,44,253,20,44,10,32,0.61,80
2020-07-05,优,40,238,21,39,8,23,0.73,74
2020-07-06,优,36,218,16,33,7,14,0.65,93
2020-07-07,优,30,141,14,27,10,15,0.53,65
2020-07-08,优,37,168,16,37,9,31,0.63,52
2020-07-09,优,47,258,23,47,8,29,0.61,80
2020-07-10,优,41,202,12,41,9,26,0.61,54
2020-07-11,优,33,172,12,33,8,22,0.51,58
2020-07-12,优,41,283,14,41,9,29,0.57,64
2020-07-13,优,42,278,17,42,9,26,0.61,56
2020-07-14,优,45,228,19,47,9,28,0.61,71
2020-07-15,优,41,205,19,41,10,34,0.65,73
2020-07-16,优,45,238,19,43,9,26,0.55,100
2020-07-17,良,72,348,39,73,8,23,0.81,147
2020-07-18,良,62,343,39,68,9,20,0.79,133
2020-07-19,优,43,298,22,48,9,32,0.62,67
2020-07-20,优,24,80,8,17,9,18,0.48,70
2020-07-21,优,26,92,7,24,9,25,0.45,58
2020-07-22,优,34,168,13,34,10,29,0.64,75
2020-07-23,良,56,318,29,55,11,37,0.81,90
2020-07-24,优,48,248,23,50,11,33,0.68,77
2020-07-25,优,46,228,18,45,9,26,0.58,77
2020-07-26,优,38,180,13,38,9,22,0.57,72
2020-07-27,优,29,117,7,28,10,20,0.54,54
2020-07-28,优,26,80,7,26,9,20,0.54,53
2020-07-29,优,29,87,9,27,9,24,0.64,46
2020-07-30,优,31,138,12,30,10,22,0.70,64
2020-07-31,良,55,340,31,62,8,22,0.84,87
