日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2020-10-01,优,50,206,23,57,11,30,0.90,33
2020-10-02,优,30,103,15,29,9,20,0.66,41
2020-10-03,优,20,60,7,20,8,20,0.65,37
2020-10-04,优,20,64,7,18,7,21,0.72,30
2020-10-05,优,13,4,6,11,6,14,0.74,27
2020-10-06,优,30,126,13,32,9,28,0.78,24
2020-10-07,良,57,285,29,71,10,42,1.04,26
2020-10-08,良,59,282,29,70,13,44,0.93,32
2020-10-09,良,53,235,25,59,12,40,0.82,54
2020-10-10,良,59,245,36,68,13,32,0.82,81
2020-10-11,优,46,137,30,47,11,30,0.79,47
2020-10-12,优,31,65,12,32,10,30,0.73,27
2020-10-13,优,37,101,20,39,10,32,0.74,26
2020-10-14,优,21,40,9,21,9,19,0.55,35
2020-10-15,优,39,172,19,42,8,30,0.60,34
2020-10-16,优,50,278,25,56,12,39,0.71,31
2020-10-17,优,47,219,18,48,11,29,0.58,37
2020-10-18,优,34,105,13,36,10,29,0.62,38
2020-10-19,良,59,230,31,70,19,46,0.75,32
2020-10-20,良,91,285,65,108,21,42,1.01,78
2020-10-21,轻度污染,108,314,45,146,11,24,0.63,73
2020-10-22,优,29,36,10,29,10,23,0.49,31
2020-10-23,优,41,70,14,41,12,25,0.48,35
2020-10-24,优,38,50,13,38,11,23,0.45,42
2020-10-25,优,47,81,22,49,13,39,0.60,29
2020-10-26,良,73,192,44,95,19,56,0.93,26
2020-10-27,优,46,107,21,49,12,27,0.51,36
2020-10-28,优,42,116,15,42,11,27,0.54,28
2020-10-29,优,41,83,17,42,14,33,0.62,26
2020-10-30,良,70,246,41,89,18,46,0.92,25
2020-10-31,良,73,258,41,89,14,28,0.71,52
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2020-10-01,优,50,206,23,57,11,30,0.90,33
2020-10-02,优,30,103,15,29,9,20,0.66,41
2020-10-03,优,20,60,7,20,8,20,0.65,37
2020-10-04,优,20,64,7,18,7,21,0.72,30
2020-10-05,优,13,4,6,11,6,14,0.74,27
2020-10-06,优,30,126,13,32,9,28,0.78,24
2020-10-07,良,57,285,29,71,10,42,1.04,26
2020-10-08,良,59,282,29,70,13,44,0.93,32
2020-10-09,良,53,235,25,59,12,40,0.82,54
2020-10-10,良,59,245,36,68,13,32,0.82,81
2020-10-11,优,46,137,30,47,11,30,0.79,47
2020-10-12,优,31,65,12,32,10,30,0.73,27
2020-10-13,优,37,101,20,39,10,32,0.74,26
2020-10-14,优,21,40,9,21,9,19,0.55,35
2020-10-15,优,39,172,19,42,8,30,0.60,34
2020-10-16,优,50,278,25,56,12,39,0.71,31
2020-10-17,优,47,219,18,48,11,29,0.58,37
2020-10-18,优,34,105,13,36,10,29,0.62,38
2020-10-19,良,59,230,31,70,19,46,0.75,32
2020-10-20,良,91,285,65,108,21,42,1.01,78
2020-10-21,轻度污染,108,314,45,146,11,24,0.63,73
2020-10-22,优,29,36,10,29,10,23,0.49,31
2020-10-23,优,41,70,14,41,12,25,0.48,35
2020-10-24,优,38,50,13,38,11,23,0.45,42
2020-10-25,优,47,81,22,49,13,39,0.60,29
2020-10-26,良,73,192,44,95,19,56,0.93,26
2020-10-27,优,46,107,21,49,12,27,0.51,36
2020-10-28,优,42,116,15,42,11,27,0.54,28
2020-10-29,优,41,83,17,42,14,33,0.62,26
2020-10-30,良,70,246,41,89,18,46,0.92,25
2020-10-31,良,73,258,41,89,14,28,0.71,52
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2020-01-01,良,89,264,66,91,10,50,0.99,15
2020-01-02,良,96,212,72,110,10,60,1.09,8
2020-01-03,轻度污染,110,221,82,124,11,62,1.08,13
2020-01-04,轻度污染,119,217,90,126,11,55,1.09,9
2020-01-05,良,61,114,43,54,7,38,1.00,11
2020-01-06,良,64,202,46,60,6,40,0.97,9
2020-01-07,良,54,212,37,53,7,41,0.98,30
2020-01-08,良,56,167,40,57,7,51,1.07,18
2020-01-09,优,39,66,26,36,6,39,1.12,9
2020-01-10,优,47,132,32,47,7,38,1.24,10
2020-01-11,良,57,179,39,60,8,42,1.23,18
2020-01-12,良,60,176,42,63,9,44,1.17,21
2020-01-13,良,68,166,49,74,10,55,1.09,11
2020-01-14,良,67,134,48,69,10,44,0.95,8
2020-01-15,优,45,58,30,44,9,37,0.82,18
2020-01-16,良,66,190,47,71,8,41,0.96,6
2020-01-17,良,73,177,53,76,9,41,1.06,10
2020-01-18,良,71,147,51,72,9,43,1.13,9
2020-01-19,良,92,218,68,93,7,43,1.14,19
2020-01-20,良,88,232,65,84,8,40,1.02,25
2020-01-21,良,83,188,61,80,8,35,0.98,22
2020-01-22,良,83,206,61,80,8,38,1.01,21
2020-01-23,良,88,218,65,83,7,34,1.03,20
2020-01-24,良,76,245,55,68,5,22,0.88,18
2020-01-25,良,52,143,36,44,5,17,0.72,24
2020-01-26,良,54,184,38,46,5,16,0.75,29
2020-01-27,优,44,132,30,36,7,18,0.79,33
2020-01-28,优,31,68,21,26,6,18,0.76,32
2020-01-29,优,49,127,34,42,7,19,0.80,40
2020-01-30,良,73,213,53,67,9,27,0.93,32
2020-01-31,良,75,204,55,65,7,26,0.97,28
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2020-02-01,良,54,121,38,46,7,21,0.85,28
2020-02-02,良,62,231,44,55,5,19,0.78,25
2020-02-03,良,51,166,36,44,5,18,0.70,28
2020-02-04,优,46,185,32,40,6,19,0.76,35
2020-02-05,良,54,226,38,46,7,21,0.79,34
2020-02-06,良,56,257,40,48,5,15,0.76,36
2020-02-07,优,44,183,31,38,5,16,0.78,33
2020-02-08,良,56,190,39,49,6,22,0.83,23
2020-02-09,良,83,260,61,73,5,21,0.93,26
2020-02-10,良,78,271,57,69,7,28,0.96,25
2020-02-11,良,76,264,55,68,6,26,0.87,27
2020-02-12,良,69,242,50,62,6,24,0.84,44
2020-02-13,良,82,270,60,70,5,24,0.84,50
2020-02-14,轻度污染,103,335,77,90,6,25,0.91,46
2020-02-15,优,43,284,28,45,5,9,0.44,59
2020-02-16,优,46,298,24,46,5,11,0.42,63
2020-02-17,良,51,306,33,52,6,24,0.55,46
2020-02-18,良,75,330,55,77,8,29,0.69,36
2020-02-19,轻度污染,114,339,85,105,6,23,0.74,45
2020-02-20,良,92,257,68,84,6,25,0.67,33
2020-02-21,轻度污染,112,325,84,107,5,21,0.72,31
2020-02-22,良,91,335,67,83,7,27,0.85,29
2020-02-23,轻度污染,106,347,79,98,6,31,1.01,15
2020-02-24,良,69,204,50,62,5,25,0.90,20
2020-02-25,良,68,202,49,64,5,30,0.98,21
2020-02-26,良,61,193,43,57,7,31,1.02,15
2020-02-27,良,65,262,47,61,6,31,1.02,9
2020-02-28,优,28,108,19,26,4,21,0.80,21
2020-02-29,优,41,154,28,38,6,27,0.99,32
